,Open,High,Low,Close,Volume
2013-11-17,521.01,525.242,518.946,522.5686,8780640.0
2013-11-24,520.074,522.8720000000001,516.54,518.823,8096800.0
2013-12-01,532.73245,541.585,531.5525,539.7925,11716700.0
2013-12-08,564.048,568.35714,559.0600000000001,562.0946,14951820.0
2013-12-15,563.29432,567.33,559.09802,561.662,11097100.0
2013-12-22,551.092,555.02778,547.14652,551.348,13107720.0
2013-12-29,567.4525,569.1275,562.9165,565.4375,9810300.0
2014-01-05,555.0425,558.025,549.693,552.4125,9855950.0
2014-01-12,541.442,545.196,535.33502,539.3773,11231960.0
2014-01-19,545.606,551.6700000000001,542.156,546.88,12562220.0
2014-01-26,548.961175,554.87,544.4466,550.7075,13759875.0
2014-02-02,512.1,517.04,507.338,511.6264,23332220.0
2014-02-09,509.29200000000003,513.77998,506.70038000000005,511.02,12389540.0
2014-02-16,532.67,540.02598,531.23,537.858,10830280.0
2014-02-23,539.1331749999999,542.4125,533.39,534.94,10345200.0
2014-03-02,524.472,529.20298,519.438,524.174,10506640.0
2014-03-09,529.8439999999999,532.89198,526.7719999999999,530.51,7887160.0
2014-03-16,532.9100000000001,535.994,529.01782,531.792,8229120.0
2014-03-23,529.536,532.92,526.74602,530.1940000000001,8688520.0
2014-03-30,540.955,543.13798,536.57602,539.6560000000001,9716840.0
2014-04-06,540.1139999999999,541.732,536.236,538.3100000000001,7053180.0
2014-04-13,525.106,528.516,520.58402,524.0640000000001,8937700.0
2014-04-20,520.055,523.1625,515.46885,520.897475,8672000.0
2014-04-27,543.0899999999999,547.4172000000001,539.9202,545.4658,13787420.0
2014-05-04,588.704,596.0319999999999,585.586,592.114,13564760.0
2014-05-11,591.996,596.67198,587.774,592.2465,10474220.0
2014-05-18,591.05,595.946,588.656,593.358,7474660.0
2014-05-25,604.008,609.0018600000001,602.138,607.402,8445860.0
2014-06-01,626.9325,634.1825,624.02,629.505,14328950.0
2014-06-08,639.192,644.41798,634.788,640.7860000000001,11794900.0
2014-06-15,93.56,94.05,92.314,93.076,58629399.4
2014-06-22,92.046,92.518,91.36778,91.846,47045400.0
2014-06-29,90.69399999999999,91.422,90.202,90.87,43251400.0
2014-07-06,93.28875,93.98875,92.8775,93.49000000000001,34792200.0
2014-07-13,94.994,96.036,94.2325,95.39259999999999,46366000.0
2014-07-20,95.65599999999999,96.17179999999999,94.202,94.81398,49815180.0
2014-07-27,95.795,96.586,95.214,96.11,55278400.0
2014-08-03,97.53,98.28999999999999,96.72200000000001,97.45599999999999,47365000.0
2014-08-10,95.134,95.702,94.324,94.978,44605000.0
2014-08-17,96.538,97.192,96.0291,96.936,35872600.0
2014-08-24,99.84,100.71000000000001,99.51,100.43199999999999,49396760.0
2014-08-31,101.736,102.384,101.32000000000001,101.86179999999999,46609740.0
2014-09-07,100.9525,101.605,99.35,99.8325,80668125.0
2014-09-14,99.602,101.426,98.53,100.088,92311900.0
2014-09-21,101.62,102.162,100.67244000000001,101.364,59357900.0
2014-09-28,100.72,101.878,99.688,100.814,67546144.8
2014-10-05,99.752,100.619,98.988,99.912,49549830.0
2014-10-12,100.074,101.25800000000001,99.474,100.184,56051631.2
2014-10-19,98.548,99.634,97.15599999999999,98.006,71707948.2
